Place_Name,City,Category,Price,Rating,Jumlah_Review,Time_Minutes,SAW_Score,SAW_Rank
Perpustakaan Nasional,Jakarta,Budaya,0,4.7,23,240.0,0.86,1
Kebun Tanaman Obat Sari Alam,Bandung,Cagar Alam,0,4.9,31,90.0,0.8551,2
Ledok Sambi,Yogyakarta,Cagar Alam,0,4.6,28,150.0,0.8424,3
Grand Indonesia Mall,Jakarta,Pusat Perbelanjaan,0,4.7,27,120.0,0.8317,4
Plaza Indonesia,Jakarta,Pusat Perbelanjaan,0,4.7,26,120.0,0.8263,5
Galeri Indonesia Kaya,Jakarta,Budaya,0,4.8,26,90.0,0.8209,6
Museum Tengah Kebun,Jakarta,Budaya,0,4.6,26,120.0,0.8191,7
Taman Balai Kota Bandung,Bandung,Taman Hiburan,0,4.6,30,45.0,0.8095,8
Kota Tua,Jakarta,Budaya,0,4.6,25,90.0,0.8012,9
Alun Alun Selatan Yogyakarta,Yogyakarta,Taman Hiburan,0,4.6,26,60.0,0.7941,10
Alun-Alun Kota Bandung,Bandung,Taman Hiburan,0,4.6,26,60.0,0.7941,10
Tugu Pal Putih Jogja,Yogyakarta,Taman Hiburan,0,4.7,27,15.0,0.7879,12
Kota Lama Semarang,Semarang,Budaya,0,4.7,21,90.0,0.7867,13
Taman Sejarah Bandung,Bandung,Budaya,0,4.6,25,45.0,0.7825,14
Indonesia Kaya Park,Semarang,Taman Hiburan,0,4.6,25,45.0,0.7825,14
Balai Kota Surabaya,Surabaya,Budaya,0,4.7,22,60.0,0.7796,16
Patung Sura dan Buaya,Surabaya,Budaya,0,4.6,24,30.0,0.7708,17
Museum Basoeki Abdullah,Jakarta,Budaya,1000,4.6,19,90.0,0.7688,18
Nol Kilometer Jl.Malioboro,Yogyakarta,Taman Hiburan,0,4.7,21,45.0,0.768,19
Taman Spathodea,Jakarta,Taman Hiburan,0,4.6,23,30.0,0.7654,20
Museum Konferensi Asia Afrika,Bandung,Budaya,0,4.6,19,60.0,0.7563,21
Monumen Jalesveva Jayamahe,Surabaya,Budaya,0,4.6,22,15.0,0.7537,22
Monumen Tugu Pahlawan,Surabaya,Budaya,0,4.7,19,30.0,0.7509,23
Alun-alun Utara Keraton Yogyakarta,Yogyakarta,Budaya,0,4.6,17,60.0,0.7455,24
Monumen Selamat Datang,Jakarta,Budaya,0,4.7,19,15.0,0.7447,25
Bendung Lepen,Yogyakarta,Taman Hiburan,0,4.6,16,60.0,0.7401,26
Museum Benteng Vredeburg Yogyakarta,Yogyakarta,Budaya,3000,4.6,32,120.0,0.6515,27
Seribu Batu Songgo Langit,Yogyakarta,Cagar Alam,2000,4.6,22,90.0,0.635,28
Museum Sasmita Loka Ahmad Yani,Jakarta,Budaya,2000,4.7,24,45.0,0.6342,29
Pantai Kesirat,Yogyakarta,Bahari,5000,4.6,37,90.0,0.6261,30
Taman Sungai Mudal,Yogyakarta,Cagar Alam,10000,4.6,36,150.0,0.6157,31
Museum Kebangkitan Nasional,Jakarta,Budaya,2000,4.7,19,45.0,0.6072,32
Dunia Fantasi,Jakarta,Taman Hiburan,270000,4.6,19,360.0,0.5824,33
Kidzania,Jakarta,Taman Hiburan,185000,4.6,21,300.0,0.5687,34
Museum Sonobudoyo Unit I,Yogyakarta,Budaya,5000,4.6,23,120.0,0.5629,35
Candi Ijo,Yogyakarta,Budaya,5000,4.6,23,60.0,0.5379,36
Puncak Kebun Buah Mangunan,Yogyakarta,Taman Hiburan,5000,4.6,20,90.0,0.5342,37
Orchid Forest Cikole,Bandung,Taman Hiburan,50000,4.6,24,150.0,0.5268,38
Sudut Pandang Bandung,Bandung,Taman Hiburan,50000,4.6,24,150.0,0.5268,38
Pantai Timang,Yogyakarta,Bahari,10000,4.7,22,90.0,0.5221,40
Museum De Javasche Bank,Surabaya,Budaya,5000,4.6,17,60.0,0.5055,41
Rainbow Garden,Bandung,Cagar Alam,20000,4.6,23,90.0,0.5054,42
"Bukit Paralayang, Watugupit",Yogyakarta,Cagar Alam,5000,4.7,13,90.0,0.5035,43
Candi Ratu Boko,Yogyakarta,Budaya,75000,4.6,24,90.0,0.4998,44
Semarang Contemporary Art Gallery,Semarang,Budaya,10000,4.6,19,90.0,0.4988,45
Candi Borobudur,Yogyakarta,Budaya,50000,4.7,19,120.0,0.4944,46
Puncak Gunung Api Purba - Nglanggeran,Yogyakarta,Cagar Alam,10000,4.7,17,60.0,0.4826,47
Curug Cimahi,Bandung,Cagar Alam,15000,4.6,21,30.0,0.4746,48
Museum Ullen Sentalu,Yogyakarta,Budaya,100000,4.7,12,120.0,0.4536,49
Monumen Nasional,Jakarta,Budaya,20000,4.6,18,15.0,0.4471,50
