Place_Name,City,Category,Price,Rating,Jumlah_Review,Time_Minutes,U_Price,U_Rating,U_Jumlah_Review,U_Time_Minutes,SMART_Score,SMART_Rank
Kebun Tanaman Obat Sari Alam,Bandung,Cagar Alam,0,4.9,31,90.0,100.0,100.0,76.0,21.74,83.4609,1
Galeri Indonesia Kaya,Jakarta,Budaya,0,4.8,26,90.0,100.0,66.67,56.0,21.74,67.7942,2
Perpustakaan Nasional,Jakarta,Budaya,0,4.7,23,240.0,100.0,33.33,44.0,65.22,60.2493,3
Grand Indonesia Mall,Jakarta,Pusat Perbelanjaan,0,4.7,27,120.0,100.0,33.33,60.0,30.43,58.2319,4
Plaza Indonesia,Jakarta,Pusat Perbelanjaan,0,4.7,26,120.0,100.0,33.33,56.0,30.43,57.4319,5
Taman Sungai Mudal,Yogyakarta,Cagar Alam,10000,4.6,36,150.0,96.3,0.0,96.0,39.13,53.9585,6
Tugu Pal Putih Jogja,Yogyakarta,Taman Hiburan,0,4.7,27,15.0,100.0,33.33,60.0,0.0,53.6667,7
Pantai Kesirat,Yogyakarta,Bahari,5000,4.6,37,90.0,98.15,0.0,100.0,21.74,52.7053,8
Museum Sasmita Loka Ahmad Yani,Jakarta,Budaya,2000,4.7,24,45.0,99.26,33.33,48.0,8.7,52.3488,9
Kota Lama Semarang,Semarang,Budaya,0,4.7,21,90.0,100.0,33.33,36.0,21.74,52.1275,10
Pantai Timang,Yogyakarta,Bahari,10000,4.7,22,90.0,96.3,33.33,40.0,21.74,51.8164,11
Balai Kota Surabaya,Surabaya,Budaya,0,4.7,22,60.0,100.0,33.33,40.0,13.04,51.6232,12
Museum Benteng Vredeburg Yogyakarta,Yogyakarta,Budaya,3000,4.6,32,120.0,98.89,0.0,80.0,30.43,50.2319,13
Nol Kilometer Jl.Malioboro,Yogyakarta,Taman Hiburan,0,4.7,21,45.0,100.0,33.33,36.0,8.7,50.171,14
Ledok Sambi,Yogyakarta,Cagar Alam,0,4.6,28,150.0,100.0,0.0,64.0,39.13,48.6696,15
Museum Kebangkitan Nasional,Jakarta,Budaya,2000,4.7,19,45.0,99.26,33.33,28.0,8.7,48.3488,16
Monumen Tugu Pahlawan,Surabaya,Budaya,0,4.7,19,30.0,100.0,33.33,28.0,4.35,47.9188,17
Monumen Selamat Datang,Jakarta,Budaya,0,4.7,19,15.0,100.0,33.33,28.0,0.0,47.2667,18
Puncak Gunung Api Purba - Nglanggeran,Yogyakarta,Cagar Alam,10000,4.7,17,60.0,96.3,33.33,20.0,13.04,46.5121,19
Candi Borobudur,Yogyakarta,Budaya,50000,4.7,19,120.0,81.48,33.33,28.0,30.43,46.2763,20
Museum Tengah Kebun,Jakarta,Budaya,0,4.6,26,120.0,100.0,0.0,56.0,30.43,45.7652,21
Taman Balai Kota Bandung,Bandung,Taman Hiburan,0,4.6,30,45.0,100.0,0.0,72.0,8.7,45.7043,22
"Bukit Paralayang, Watugupit",Yogyakarta,Cagar Alam,5000,4.7,13,90.0,98.15,33.33,4.0,21.74,45.172,23
Kota Tua,Jakarta,Budaya,0,4.6,25,90.0,100.0,0.0,52.0,21.74,43.6609,24
Alun-Alun Kota Bandung,Bandung,Taman Hiburan,0,4.6,26,60.0,100.0,0.0,56.0,13.04,43.1565,25
Alun Alun Selatan Yogyakarta,Yogyakarta,Taman Hiburan,0,4.6,26,60.0,100.0,0.0,56.0,13.04,43.1565,25
Museum Sonobudoyo Unit I,Yogyakarta,Budaya,5000,4.6,23,120.0,98.15,0.0,44.0,30.43,42.8097,27
Taman Sejarah Bandung,Bandung,Budaya,0,4.6,25,45.0,100.0,0.0,52.0,8.7,41.7043,28
Indonesia Kaya Park,Semarang,Taman Hiburan,0,4.6,25,45.0,100.0,0.0,52.0,8.7,41.7043,28
Seribu Batu Songgo Langit,Yogyakarta,Cagar Alam,2000,4.6,22,90.0,99.26,0.0,40.0,21.74,41.0386,30
Patung Sura dan Buaya,Surabaya,Budaya,0,4.6,24,30.0,100.0,0.0,48.0,4.35,40.2522,31
Candi Ijo,Yogyakarta,Budaya,5000,4.6,23,60.0,98.15,0.0,44.0,13.04,40.201,32
Sudut Pandang Bandung,Bandung,Taman Hiburan,50000,4.6,24,150.0,81.48,0.0,48.0,39.13,39.914,33
Orchid Forest Cikole,Bandung,Taman Hiburan,50000,4.6,24,150.0,81.48,0.0,48.0,39.13,39.914,33
Rainbow Garden,Bandung,Cagar Alam,20000,4.6,23,90.0,92.59,0.0,44.0,21.74,39.8386,35
Taman Spathodea,Jakarta,Taman Hiburan,0,4.6,23,30.0,100.0,0.0,44.0,4.35,39.4522,36
Puncak Kebun Buah Mangunan,Yogyakarta,Taman Hiburan,5000,4.6,20,90.0,98.15,0.0,32.0,21.74,39.1053,37
Museum Basoeki Abdullah,Jakarta,Budaya,1000,4.6,19,90.0,99.63,0.0,28.0,21.74,38.7498,38
