Place_Name,City,Price,Rating,Jumlah_Review,Time_Minutes,SAW_Score,SAW_Rank,TOPSIS_Score,TOPSIS_Rank,SMART_Score,SMART_Rank,Avg_Rank,Final_Rank
Perpustakaan Nasional,Jakarta,0,4.7,23,240.0,0.86,1,0.8887,1,60.2493,3,1.6666666666666667,1
Kebun Tanaman Obat Sari Alam,Bandung,0,4.9,31,90.0,0.8551,2,0.8125,9,83.4609,1,4.0,2
Grand Indonesia Mall,Jakarta,0,4.7,27,120.0,0.8317,4,0.8262,5,58.2319,4,4.333333333333333,3
Plaza Indonesia,Jakarta,0,4.7,26,120.0,0.8263,5,0.8252,6,57.4319,5,5.333333333333333,4
Galeri Indonesia Kaya,Jakarta,0,4.8,26,90.0,0.8209,6,0.8087,11,67.7942,2,6.333333333333333,5
Ledok Sambi,Yogyakarta,0,4.6,28,150.0,0.8424,3,0.8445,2,48.6696,15,6.666666666666667,6
Museum Tengah Kebun,Jakarta,0,4.6,26,120.0,0.8191,7,0.825,7,45.7652,21,11.666666666666666,7
Kota Lama Semarang,Semarang,0,4.7,21,90.0,0.7867,13,0.803,13,52.1275,10,12.0,8
Taman Sungai Mudal,Yogyakarta,10000,4.6,36,150.0,0.6157,31,0.8421,3,53.9585,6,13.333333333333334,9
Museum Benteng Vredeburg Yogyakarta,Yogyakarta,3000,4.6,32,120.0,0.6515,27,0.8282,4,50.2319,13,14.666666666666666,10
Kota Tua,Jakarta,0,4.6,25,90.0,0.8012,9,0.8074,12,43.6609,24,15.0,11
Pantai Kesirat,Yogyakarta,5000,4.6,37,90.0,0.6261,30,0.811,10,52.7053,8,16.0,12
Balai Kota Surabaya,Surabaya,0,4.7,22,60.0,0.7796,16,0.7887,21,51.6232,12,16.333333333333332,13
Alun-Alun Kota Bandung,Bandung,0,4.6,26,60.0,0.7941,10,0.7924,18,43.1565,25,17.666666666666668,14
Taman Balai Kota Bandung,Bandung,0,4.6,30,45.0,0.8095,8,0.7873,23,45.7043,22,17.666666666666668,14
Alun Alun Selatan Yogyakarta,Yogyakarta,0,4.6,26,60.0,0.7941,10,0.7924,18,43.1565,25,17.666666666666668,14
Tugu Pal Putih Jogja,Yogyakarta,0,4.7,27,15.0,0.7879,12,0.7703,39,53.6667,7,19.333333333333332,17
Nol Kilometer Jl.Malioboro,Yogyakarta,0,4.7,21,45.0,0.768,19,0.7801,32,50.171,14,21.666666666666668,18
Museum Sasmita Loka Ahmad Yani,Jakarta,2000,4.7,24,45.0,0.6342,29,0.7817,30,52.3488,9,22.666666666666668,19
Pantai Timang,Yogyakarta,10000,4.7,22,90.0,0.5221,40,0.7964,17,51.8164,11,22.666666666666668,19
Indonesia Kaya Park,Semarang,0,4.6,25,45.0,0.7825,14,0.7838,27,41.7043,28,23.0,21
Taman Sejarah Bandung,Bandung,0,4.6,25,45.0,0.7825,14,0.7838,27,41.7043,28,23.0,21
Museum Sonobudoyo Unit I,Yogyakarta,5000,4.6,23,120.0,0.5629,35,0.8181,8,42.8097,27,23.333333333333332,23
Museum Basoeki Abdullah,Jakarta,1000,4.6,19,90.0,0.7688,18,0.7996,15,38.7498,38,23.666666666666668,24
Seribu Batu Songgo Langit,Yogyakarta,2000,4.6,22,90.0,0.635,28,0.8028,14,41.0386,30,24.0,25
Monumen Tugu Pahlawan,Surabaya,0,4.7,19,30.0,0.7509,23,0.7706,38,47.9188,17,26.0,26
Museum Kebangkitan Nasional,Jakarta,2000,4.7,19,45.0,0.6072,32,0.7765,34,48.3488,16,27.333333333333332,27
Patung Sura dan Buaya,Surabaya,0,4.6,24,30.0,0.7708,17,0.7754,35,40.2522,31,27.666666666666668,28
Monumen Selamat Datang,Jakarta,0,4.7,19,15.0,0.7447,25,0.7635,41,47.2667,18,28.0,29
"Bukit Paralayang, Watugupit",Yogyakarta,5000,4.7,13,90.0,0.5035,43,0.7876,22,45.172,23,29.333333333333332,30
Museum Konferensi Asia Afrika,Bandung,0,4.6,19,60.0,0.7563,21,0.7851,26,37.5565,41,29.333333333333332,30
Puncak Kebun Buah Mangunan,Yogyakarta,5000,4.6,20,90.0,0.5342,37,0.7981,16,39.1053,37,30.0,32
Candi Ijo,Yogyakarta,5000,4.6,23,60.0,0.5379,36,0.7861,24,40.201,32,30.666666666666668,33
Taman Spathodea,Jakarta,0,4.6,23,30.0,0.7654,20,0.7745,37,39.4522,36,31.0,34
Alun-alun Utara Keraton Yogyakarta,Yogyakarta,0,4.6,17,60.0,0.7455,24,0.7826,29,35.9565,43,32.0,35
Monumen Jalesveva Jayamahe,Surabaya,0,4.6,22,15.0,0.7537,22,0.7663,40,38.0,39,33.666666666666664,36
Bendung Lepen,Yogyakarta,0,4.6,16,60.0,0.7401,26,0.7812,31,35.1565,45,34.0,37
Puncak Gunung Api Purba - Nglanggeran,Yogyakarta,10000,4.7,17,60.0,0.4826,47,0.7747,36,46.5121,19,34.0,37
Rainbow Garden,Bandung,20000,4.6,23,90.0,0.5054,42,0.7856,25,39.8386,35,34.0,37
Semarang Contemporary Art Gallery,Semarang,10000,4.6,19,90.0,0.4988,45,0.7923,20,37.7498,40,35.0,40
Candi Borobudur,Yogyakarta,50000,4.7,19,120.0,0.4944,46,0.737,46,46.2763,20,37.333333333333336,41
Orchid Forest Cikole,Bandung,50000,4.6,24,150.0,0.5268,38,0.7553,43,39.914,33,38.0,42
Sudut Pandang Bandung,Bandung,50000,4.6,24,150.0,0.5268,38,0.7553,43,39.914,33,38.0,42
Museum De Javasche Bank,Surabaya,5000,4.6,17,60.0,0.5055,41,0.779,33,35.401,44,39.333333333333336,44
Curug Cimahi,Bandung,15000,4.6,21,30.0,0.4746,48,0.7592,42,36.1855,42,44.0,45
Kidzania,Jakarta,185000,4.6,21,300.0,0.5687,34,0.3664,49,29.0357,49,44.0,45
Dunia Fantasi,Jakarta,270000,4.6,19,360.0,0.5824,33,0.2278,50,20.6,50,44.333333333333336,47
Candi Ratu Boko,Yogyakarta,75000,4.6,24,90.0,0.4998,44,0.6643,47,34.5275,47,46.0,48
Monumen Nasional,Jakarta,20000,4.6,18,15.0,0.4471,50,0.7429,45,32.5778,48,47.666666666666664,49
Museum Ullen Sentalu,Yogyakarta,100000,4.7,12,120.0,0.4536,49,0.5887,48,35.1208,46,47.666666666666664,49
